,datetime_jd,datetime_str,Canberra DSS-43,Parkes,Madrid DSS-63,Lovell,Effelsberg,AVN-Ghana,Goldstone,Green Bank,Very Large Array,Arecibo,FAST,EDSCC,Usuda Deep Space Center 
39,2462240.198,2029-Apr-13 16:45,19.496242958702563,19.485517646108498,20.58203690116652,20.577789597438084,20.481476718658538,20.382268608658222,20.994438183509065,21.123220795358936,21.06184759974393,21.15024197018581,19.488382986047068,19.853745930938583,19.798228261755266
40,2462240.201,2029-Apr-13 16:50,19.23289773496782,19.22230111198136,20.284732300215595,20.283361288660217,20.185918459623185,20.081087184589684,20.724426102916528,20.842444093396836,20.78960072639701,20.865807612484723,19.20970926121218,19.5807651329738,19.52839373934496
41,2462240.205,2029-Apr-13 16:55,18.97425183553281,18.963871798545615,19.983026662726395,19.985487349996983,19.886675431980937,19.77405271876129,20.456920086569273,20.561194979661,20.519173536013895,20.57956427730116,18.932744398248445,19.31087240060388,19.26244867110934
42,2462240.208,2029-Apr-13 17:00,18.712445584308938,18.70221970308661,19.685658955513524,19.691090496794253,19.59124058619649,19.472839077975426,20.18669224517933,20.27992713847926,20.24659643936036,20.294482652631974,18.655666077391356,19.039159035782877,18.993971074737537
43,2462240.212,2029-Apr-13 17:05,18.455550823178942,18.445574662562965,19.383868502938324,19.393244321757116,19.2921493757568,19.16576122002729,19.91876491409071,19.997958298668134,19.975612050200724,20.00732674575304,18.380652098267216,18.770767972581194,18.729620951351677
44,2462240.215,2029-Apr-13 17:10,18.19537158987441,18.185574904064577,19.08651576767591,19.09895240253248,18.99691784387621,18.86461218306097,19.64833946738906,19.71623035909099,19.70272449992621,19.72163654244773,18.105279122219034,18.50039766794808,18.462573306270993
45,2462240.219,2029-Apr-13 17:15,17.940311124872895,17.930796950877284,18.784735195852363,18.80122182541491,18.69807422244741,18.55760906481825,19.380002988745158,19.433574594331805,19.43119832073675,19.433611580046296,17.832333917281787,18.233583868326456,18.19988852640746
46,2462240.222,2029-Apr-13 17:20,17.681859119525647,17.672549515886352,18.4874859953963,18.5071184333331,18.40313652011872,18.256633822467137,19.10940551079603,19.151425353307413,19.158027550631964,19.147359816090983,17.55878915987911,17.964642573503507,17.93435401350523
47,2462240.226,2029-Apr-13 17:25,17.428728961701523,17.41973417458153,18.18582124805225,18.209601920241056,18.10464742505916,17.949837421325157,18.840680096131226,18.86812395274324,18.885983160686216,18.858518764053436,17.288043346272893,17.699491529142335,17.673414696502824
48,2462240.229,2029-Apr-13 17:30,17.17211882073933,17.16335337829515,17.888776215386752,17.915782244680845,17.810106260725842,17.649159619964028,18.569944720276464,18.585601090318676,18.612565003382084,18.571762072308363,17.01646465306311,17.432077118670836,17.409488271039336
49,2462240.233,2029-Apr-13 17:35,16.921029397113937,16.912610475504497,17.587347398664757,17.618591847734905,17.512092885189233,17.34271862111547,18.300860182162943,18.301705588885323,18.340035689224635,18.282168915645123,16.748064711564048,17.16868700475387,17.150386865261044
50,2462240.236,2029-Apr-13 17:40,16.66639295554585,16.65822773229043,17.29062139995011,17.32516481648263,17.218065421377993,17.042478852630527,18.03003126736109,18.01886723149793,18.066416191761256,17.99497510003272,16.4786078931243,16.902911845024818,16.888177819654096
51,2462240.24,2029-Apr-13 17:45,16.41747229441459,16.409684525195757,16.98956463864655,17.028427765147995,16.920664937725398,16.736561548686147,17.760628321168657,17.73444071802127,17.793446272681265,17.70470658382356,16.212718340924628,16.641395046505565,16.631020703299498
52,2462240.243,2029-Apr-13 17:50,16.164961257877106,16.15745097591386,16.693289636492967,16.73551861589005,16.627285533594954,16.436921182892917,17.48976179925126,17.451357140227906,17.51968312415262,17.417156744661497,15.945559820383668,16.377387864034297,16.370654463898063
53,2462240.247,2029-Apr-13 17:55,15.918357495056807,15.911254670601188,16.39276111393288,16.439381284853745,16.330655249210746,16.131719809899945,17.220094273924268,17.16647678485927,17.246330173285102,17.12630486771179,15.682367219541293,16.117874442210184,16.115565210883318
54,2462240.25,2029-Apr-13 18:00,15.66814659404835,15.661344341100012,16.097090097783266,16.147135415595244,16.0380795021339,15.832865348981631,16.949260044793377,16.883232990253845,16.972495090215066,16.838495990331914,15.41770829437698,15.855783981384619,15.857186854639183
