,date,date_jd,ra,dec,lon,lat,lonR,latR
88,2029-Apr-13 20:50,2462240.368055556,334.73919,-10.18745,-63.69313450103874,1.563033198463917,-51.64560118143976,1.5626948616027652
89,2029-Apr-13 20:55,2462240.371527778,332.67625,-11.771609999999999,-61.510588207818614,2.9250297250039994,-50.55869626785636,2.9247625390024203
90,2029-Apr-13 21:00,2462240.375,330.49702999999994,-13.409479999999999,-59.2262402765723,4.342446960887396,-49.36998568283343,4.34225909258623
91,2029-Apr-13 21:05,2462240.378472222,328.19603,-15.094889999999998,-56.838261912674795,5.81111227113622,-48.07764019725437,5.811012473331889
92,2029-Apr-13 21:10,2462240.381944444,325.76836,-16.8197,-54.34579595394911,7.325223292675582,-46.680802141827996,7.325220759263625
93,2029-Apr-13 21:15,2462240.385416667,323.20995,-18.57371,-51.74908799907223,8.877256954367928,-45.179716822196326,8.877361121953507
94,2029-Apr-13 21:20,2462240.388888889,320.51794,-20.344630000000002,-49.049748726694816,10.457932653084555,-43.57599366792999,10.458152946522159
95,2029-Apr-13 21:25,2462240.392361111,317.69106,-22.11816,-46.25095278671171,12.056256331159803,-41.87280689848916,12.056601857125893
96,2029-Apr-13 21:30,2462240.395833333,314.73006,-23.878270000000004,-43.35762481560562,13.659736360772955,-40.07508038749961,13.660215564273777
97,2029-Apr-13 21:35,2462240.399305556,311.63818,-25.607620000000004,-40.37661230802365,15.254706807893445,-38.189661162922164,15.255327109063392
98,2029-Apr-13 21:40,2462240.402777778,308.42151999999993,-27.288100000000004,-37.316726568113495,16.826731411110707,-36.22535923316201,16.8274988459912
99,2029-Apr-13 21:45,2462240.40625,305.08944,-28.901559999999993,-34.18879414388596,18.36116910039023,-34.19300085617567,18.362087997172132
100,2029-Apr-13 21:50,2462240.409722222,301.65472,-30.430590000000002,-31.005507922529375,19.843760469616967,-32.10527853127627,19.84483318960715
101,2029-Apr-13 21:55,2462240.413194444,298.13359999999994,-31.859349999999996,-27.78123238898536,21.261256835887128,-29.976556629577203,21.262483606442558
102,2029-Apr-13 22:00,2462240.416666667,294.54552,-33.17428000000001,-24.531642619860804,22.6019385211058,-27.82251074397857,22.60331737541715
103,2029-Apr-13 22:05,2462240.420138889,290.91267,-34.36476,-21.273332030876134,23.856116801363484,-25.65973430998065,23.857643637036364
104,2029-Apr-13 22:10,2462240.423611111,287.25919,-35.4235,-18.023260016816323,25.016422086207207,-23.505188018908314,25.01809083409917
105,2029-Apr-13 22:15,2462240.427083333,283.61027,-36.34674,-14.798256026430465,26.07797347777708,-21.375702701067326,26.0797763655968
106,2029-Apr-13 22:20,2462240.430555556,279.99102999999997,-37.13419,-11.614434046859628,27.038370632341536,-19.287394338123192,27.04029851861115
107,2029-Apr-13 22:25,2462240.434027778,276.42553999999996,-37.788709999999995,-8.486780373899137,27.897495165560965,-17.255250579647395,27.899537907070016
108,2029-Apr-13 22:30,2462240.4375,272.93580000000003,-38.31593,-5.428700684372075,28.657316908692923,-15.292679474065608,28.659463743252328
109,2029-Apr-13 22:35,2462240.440972222,269.541,-38.72363,-2.4517386593770993,29.321493431569557,-13.411226807663411,29.323733336710763
110,2029-Apr-13 22:40,2462240.444444444,266.25703999999996,-39.02116,0.43457611390623313,29.89501778104227,-11.620424201627031,29.897339794321436
111,2029-Apr-13 22:45,2462240.447916667,263.09630999999996,-39.21886000000001,3.22277245016907,30.383851923567082,-9.927745014104914,30.38624541015574
112,2029-Apr-13 22:50,2462240.451388889,260.06767,-39.32748,5.907429799093874,30.794533029408296,-8.338610862568032,30.79698788712779
113,2029-Apr-13 22:55,2462240.454861111,257.17667,-39.357800000000005,8.485037004918714,31.133933654462663,-6.856534590871831,31.13644046465087
114,2029-Apr-13 23:00,2462240.458333333,254.42595000000003,-39.32022,10.953775045926891,31.40894247083094,-5.483336339044001,31.41149258831206
115,2029-Apr-13 23:05,2462240.461805556,251.81561,-39.22455000000001,13.313347511913358,31.626313370771413,-4.219313651008633,31.628898971463926
116,2029-Apr-13 23:10,2462240.465277778,249.34374,-39.07983,15.564687145853068,31.792494514478495,-3.0635337799614604,31.795108601796695
117,2029-Apr-13 23:15,2462240.46875,247.00678,-38.89425,17.70980181157195,31.913548232628386,-2.0139895018134553,31.916184617400845
118,2029-Apr-13 23:20,2462240.472222222,244.80002000000002,-38.67512,19.75147520969588,31.995079994778553,-1.0678972642100462,31.997733252537433
119,2029-Apr-13 23:25,2462240.475694444,242.71791,-38.42886000000001,21.693116765524138,32.04219285569785,-0.22184762031901073,32.04485826964296
120,2029-Apr-13 23:30,2462240.479166667,240.75438,-38.161089999999994,23.538560232291506,32.059526473820696,0.527993043920351,32.0621999738385
121,2029-Apr-13 23:35,2462240.482638889,238.90305999999998,-37.87664,25.2919472967452,32.05122223493656,1.1857672650688609,32.05390032982746
122,2029-Apr-13 23:40,2462240.486111111,237.15749,-37.57964,26.95758323430638,32.020963115227936,1.7557803641581364,32.02364282649172
123,2029-Apr-13 23:45,2462240.489583333,235.51128000000003,-37.27362999999999,28.539814971161125,31.972037063333524,2.2423796584615574,31.974715864376034
124,2029-Apr-13 23:50,2462240.493055556,233.95817,-36.96155,30.04301328635473,31.907296672164012,2.649936064504709,31.909972425440902
125,2029-Apr-13 23:55,2462240.496527778,232.49214,-36.64589,31.47146151201037,31.829268673706846,2.982733951737769,31.831939578955733
126,2029-Apr-14 00:00,2462240.5,231.10744999999997,-36.328720000000004,32.82932640243041,31.740157222786504,3.244940238096071,31.742821767823674
127,2029-Apr-14 00:05,2462240.503472222,229.79866,-36.01174,34.12063662662047,31.641871648477903,3.440584050142375,31.644528564831162
128,2029-Apr-14 00:10,2462240.506944444,228.56068,-35.69635,35.34922369050014,31.53607061053178,3.5734973398911887,31.53871883508782
129,2029-Apr-14 00:15,2462240.510416667,227.38869,-35.38369,36.518787476321094,31.424199884340354,3.6473801345421326,31.42683852700379
130,2029-Apr-14 00:20,2462240.513888889,226.27824999999999,-35.074670000000005,37.63278489567519,31.307490967299852,3.6656903496920625,31.310119279987244
131,2029-Apr-14 00:25,2462240.517361111,225.2252,-34.77002000000001,38.69450808169966,31.18701542555652,3.631720225036896,31.189632778315218
132,2029-Apr-14 00:30,2462240.520833333,224.22567,-34.47031,39.707066472379424,31.063693374152518,3.5485795799281092,31.066299233570685
133,2029-Apr-14 00:35,2462240.524305556,223.27608,-34.17598000000001,40.67337521350386,30.93831459621392,3.419183626102317,30.940908507062844
134,2029-Apr-14 00:40,2462240.527777778,222.37314,-33.88735,41.5961480934087,30.811541175929918,3.2462470767097726,30.814122744205992
135,2029-Apr-14 00:45,2462240.53125,221.51377000000002,-33.60467,42.477956488196696,30.683964120146623,3.0323413341196956,30.68653300252427
136,2029-Apr-14 00:50,2462240.534722222,220.69513999999998,-33.32809,43.321194700085805,30.556062027761346,2.7798610000383324,30.558617918008952
137,2029-Apr-14 00:55,2462240.538194444,219.91461999999999,-33.05771,44.128111158173084,30.42825426562966,2.491054785517343,30.430796886684284
138,2029-Apr-14 01:00,2462240.541666667,219.1698,-32.793580000000006,44.90078575181082,30.300893738207833,2.168002547855378,30.303422834041275
139,2029-Apr-14 01:05,2462240.545138889,218.45844,-32.53569,45.64117636056114,30.17426267475369,1.8126630017711327,30.17677800262313
140,2029-Apr-14 01:10,2462240.548611111,217.77846,-32.28403,46.35111085794326,30.048630403013583,1.4268639582913947,30.051131731237053
141,2029-Apr-14 01:15,2462240.552083333,217.12793,-32.03852,47.032310941219954,29.924184390477812,1.0123273337311023,29.926671490488783
142,2029-Apr-14 01:20,2462240.555555556,216.50509,-31.799090000000003,47.68635111768541,29.801102941190415,0.5706275429032638,29.803575586064145
143,2029-Apr-14 01:25,2462240.559027778,215.90829,-31.565649999999994,48.31472113344803,29.67953485361177,0.10325511110035819,29.681992815397816
