,datetime_jd,datetime_str,Arecibo Telescope,Goldstone Radio Telescope,Green Bank Interferometer (GBI),Green Bank Telescope (GBT),Green Bank 140 Foot Telescope (140foot),Very Large Array (VLA),Very Long Baseline Array (VLBA),FAST,CDSCC,EDSCC,Tsukuba Space Center ,Usuda Deep Space Center ,GREAT,Okinawa Tracking and Communications Station ,Masuda Tracking and Communications Station ,Katsuura Tracking and Communications Station ,Bisei Space Guard Center,Kamisaibara Space Guard Center ,Uchinoura Space Center 
69,2462240.302083333,2029-Apr-13 19:15,12.506001908081199,12.91212104589848,12.632563618033569,12.632566720696177,12.632509646287353,12.879108091596175,12.879110832603917,11.680309626203389,12.136994922771393,12.110155729252934,12.199459428622903,12.175271940910593,12.175100320539137,11.993250363363567,12.05469962717925,12.199871428413692,12.104429038276328,12.104429038276328,12.057994898781395
70,2462240.305555556,2029-Apr-13 19:20,12.220638529675734,12.646415243238133,12.35253285685607,12.352536135886481,12.352478602224057,12.60930509240088,12.609308087937404,11.450131555164303,11.918323390746131,11.874844906170221,11.96844800947845,11.944275420492925,11.944105565509851,11.766590741046974,11.82636590146414,11.969293739649945,11.874166114119378,11.874166114119378,11.829331784743763
71,2462240.309027778,2029-Apr-13 19:25,11.936280174837806,12.381579573982014,12.073430721496665,12.073434176322893,12.073376236038612,12.3403393251938,12.340342576548382,11.223166176523023,11.702477991888879,11.64199587647208,11.739848866220434,11.715726269541845,11.715558460074481,11.542727721353227,11.600705349020092,11.741135693425884,11.646467099685976,11.646467099685976,11.603330790347199
72,2462240.3125,2029-Apr-13 19:30,11.653081362973252,12.117732175832064,11.795395088831803,11.795398718561355,11.795340427032022,12.07233212745882,12.072335635680897,10.999618228419758,11.4896361855363,11.411773514393612,11.513818508215184,11.489782938884032,11.489617468616421,11.321834407910503,11.377885984683566,11.515553686776162,11.4214961545226,11.4214961545226,11.380159710005367
73,2462240.315972222,2029-Apr-13 19:35,11.371214500819457,11.855004122610849,11.518579553480423,11.518583356854698,11.51852477249286,11.805418312138924,11.805422078000303,10.779708759944011,11.279989363817974,11.184356890136732,11.290526720756965,11.266617277764844,11.266454454655076,11.104097836940058,11.158089593934857,11.292717350049962,11.199431137380378,11.199431137380378,11.160000124563231
74,2462240.319444444,2029-Apr-13 19:40,11.090872684588536,11.593541172299243,11.243155845882598,11.243159821221544,11.243101005813733,11.539748072558908,11.539752096505698,10.563675987045196,11.073743320691806,10.959940266122299,11.070157392875101,11.046415365018031,11.046255511981872,10.88971967704238,10.941512486922711,11.072810359832918,10.980464422397642,10.980464422397642,10.943048166665728
75,2462240.322916667,2029-Apr-13 19:45,10.8122721324423,11.33350572983782,10.969316245800224,10.969320390944329,10.969261410102886,11.275488996522636,11.275493278623188,10.351777296522043,10.87111910760827,10.738735302841285,10.852910537535111,10.829379538365565,10.829222993960101,10.67891812469399,10.728367457901157,10.85603244284709,10.76480492404327,10.76480492404327,10.72951649312707
76,2462240.326388889,2029-Apr-13 19:50,10.535655722784004,11.075078576939184,10.697276173725637,10.697280485958174,10.697221409523998,11.012828058042968,11.012832597919086,10.144289051926533,10.672353969249107,10.520970963075897,10.639002149953955,10.615728242411224,10.615575361428474,10.471927658309017,10.51888356498336,10.642599229731559,10.552677911026695,10.552677911026695,10.519634068367658
77,2462240.329861111,2029-Apr-13 19:55,10.261296387944096,10.818461573299809,10.427277600986436,10.427282076951823,10.42722297955926,10.751974415754345,10.75197921250545,9.941508744498892,10.477701812156107,10.306896158522463,10.428666585119615,10.405698412168594,10.405549566166156,10.269001141497332,10.313308357238295,10.432744606022272,10.344327356856605,10.344327356856605,10.313648413461777
78,2462240.333333333,2029-Apr-13 20:00,9.989500807032126,10.563879665282963,10.15959189726086,10.159596532864978,10.159537494496275,10.493161646012894,10.493166698125476,9.743755420728117,10.287434525615454,10.09678038052674,10.222157156949258,10.199546061749034,10.199401639490763,10.07041030416336,10.111908390269052,10.226721307458629,10.140016492328819,10.140016492328819,10.111826125560588
79,2462240.336805556,2029-Apr-13 20:05,9.720614919226648,10.311584441459354,9.894524751738173,9.894529542030648,9.894470648663704,10.236651629039063,10.236656934274741,9.551369991003375,10.101841595170155,9.890914924670707,10.019747085778285,9.99754721448773,9.997407622128609,9.876446172868953,9.914969850466656,10.024801834047187,9.940028625227562,9.940028625227562,9.914453531307567
80,2462240.340277778,2029-Apr-13 20:10,9.455028351873075,10.061857058494295,9.632420082443177,9.63242502148535,9.632366365826103,9.982737684281068,9.982743239550523,9.364716325067784,9.921231023690536,9.689614638849159,9.821731129747937,9.799999520615822,9.799865181724345,9.687420392393625,9.72279999183821,9.827280065586493,9.744668686544449,9.744668686544449,9.721838138722006
81,2462240.34375,2029-Apr-13 20:15,9.193180715964893,9.815012237736624,9.373665569903359,9.373670650613878,9.373612332896464,9.731748957405644,9.731754758617392,9.184180966642334,9.745928971247736,9.493218850776294,9.62842631807308,9.607222956767707,9.607094311986076,9.503665334785369,9.535727466055496,9.634471964519253,9.554263775557164,9.554263775557164,9.534308995909914
82,2462240.347222222,2029-Apr-13 20:20,8.935567628694004,9.571402020312531,9.118697848277286,9.118703062254607,9.118645191080033,9.484054545402767,9.484060587287951,9.010172756452556,9.57627992154564,9.302092172320204,9.44017268294139,9.419560518467414,9.419438024809946,9.325534272928799,9.354102684585687,9.446716288041687,9.369163698879264,9.369163698879264,9.352217073955673
83,2462240.350694444,2029-Apr-13 20:25,8.682747627568059,9.331420285895737,8.868008692479016,8.86801402980009,8.867956723031206,9.240068450046342,9.24007472595565,8.843121916637157,9.412646010742256,9.116625233518468,9.257333885995292,9.237378793526553,9.23726292318087,9.153401223699019,9.178297929685245,9.264375185350634,9.189741332318237,9.189741332318237,9.175935408095967
84,2462240.354166667,2029-Apr-13 20:30,8.435349844575857,9.095508071860614,8.622152136650254,8.62215758564599,8.622100971357236,9.000255382456876,9.000261884126681,8.683478463366662,9.255405570412174,8.93723526581055,9.080297701893247,9.061068373755814,9.060959612224417,8.987660407300694,9.008707162223587,9.087834644966167,9.016392752164233,9.016392752164233,9.00585894380288
85,2462240.357638889,2029-Apr-13 20:35,8.194080708255646,8.864158090024379,8.381750562409572,8.38175610941689,8.381700326824749,8.765135736806917,8.765142454096571,8.531710091176487,9.104952206249889,8.764365981763014,8.909476001753386,8.89104375955231,8.890942603156821,8.828725358265318,8.845745410492299,8.917504460488123,8.84953687125592,8.84953687125592,8.842403949227515
86,2462240.361111111,2029-Apr-13 20:40,7.959732306239927,8.637920724811112,8.147502508291222,8.147508137378749,8.147453337648901,8.535292211607382,8.535299132198494,8.388297718412396,8.961692119404232,8.598486060700067,8.745303395189772,8.727741878011166,8.72764883039393,8.677026210257711,8.689846482939375,8.7538168437738,8.68961353811309,8.68961353811309,8.686005765516233
87,2462240.364583333,2029-Apr-13 20:45,7.733187793637132,8.417408985375841,7.920188672575268,7.92019436526425,7.9201407123021195,8.31137510842959,8.311382217504402,8.253732815722431,8.826041742616596,8.44008918833998,8.588237471262602,8.571622220476153,8.571537788271511,8.533008787290768,8.541462431479916,8.597226644267982,8.537083321936555,8.537083321936555,8.537118300715669
88,2462240.368055556,2029-Apr-13 20:50,7.515428104999899,8.203304462380531,7.700678833966413,7.700684568938141,7.7006322398041505,8.094108878379714,8.094116158266052,8.128510081086299,8.698423812992553,8.289690303500638,8.438755583389913,8.423163448734934,8.423088135915153,8.397129783375222,8.401059202424822,8.448208122449845,8.392423570947129,8.392423570947129,8.396209710148806
89,2462240.371527778,2029-Apr-13 20:55,7.307532633787528,7.9963600343448125,7.489934136936962,7.489939889756697,7.489889074776886,7.884294983020872,7.88430241283081,8.013122433522751,8.579264443916035,8.147823048815297,8.297352968885678,8.282861384615734,8.282795685960613,8.269853936627626,8.269114068615359,8.307253083987318,8.256126038036701,8.256126038036701,8.26375983201713
90,2462240.375,2029-Apr-13 21:00,7.110680835498291,7.797405487583237,7.289011437787328,7.289017180663029,7.288968082941148,7.682817725440096,7.682825280703143,7.9080520163267645,8.468987039460945,8.01503507689553,8.164538888059024,8.151224924576463,8.151169317517448,8.15164823816629,8.146110401943547,8.174867014168088,8.12869212352088,8.12869212352088,8.140254990676455
91,2462240.378472222,2029-Apr-13 21:05,6.926143708946568,7.607346221524586,7.09905852884857,7.09906423045544,7.099017064675729,7.490642598083142,7.490650250409954,7.813762936557547,8.368008556559856,7.891882497976881,8.040832268492077,8.028771539153,8.028726474816205,8.042977034298357,8.032532851609664,8.051564782166821,8.010628051937719,8.010628051937719,8.02618314319923
92,2462240.381944444,2029-Apr-13 21:10,6.755272815521692,7.427163437427561,6.921308772409374,6.921314397819301,6.92126938801519,7.308815872565987,7.308823589363215,7.730690899117632,8.276733040544782,7.778922591201554,7.926755803942128,7.916021150176189,7.915987043034727,7.9442948233279465,7.92886045225938,7.937864788947023,7.902438185135651,7.902438185135651,7.9220269753941475
93,2462240.385416667,2029-Apr-13 21:15,6.5994776226158125,7.257907146016116,6.757065615315734,6.757071126078161,6.757028502274599,7.138456267309249,7.138464011593581,7.659234569681978,8.195546474546383,7.676705783682764,7.82282952273917,7.81348956182991,7.813466778764166,7.856039767872624,7.835560026166745,7.834282634022307,7.804618225669663,7.804618225669663,7.828257242418949
94,2462240.388888889,2029-Apr-13 21:20,6.460195185930635,7.100686156337552,6.6076810181212515,6.6076863725423225,6.6076463660129905,6.980742996870345,6.980750727223919,7.599745664751723,8.124810722771233,7.585765935072997,7.729562853355997,7.721680383042725,7.721669231836637,7.778625841566445,7.753078160687829,7.741323296331739,7.71764692857623,7.71764692857623,7.745324673430011
